CUSIP,subgroup,document_name,pdf_url,period_date,posted_date,CREDIT
677632N7,Quarterly / Monthly Financial Information,The Ohio State University Quarterly Update to Bondholders for the quarter ended 12/31/2024 (815 KB),https://emma.msrb.org/P21895110-P21449248-P21896752.pdf,2024-12-31,02/14/2025,OHIO STATE UNIVERSITY/THE
677632N7,Quarterly / Monthly Financial Information,The Ohio State University Quarterly Update to Bondholders for the quarter ended 09/30/2024 (574 KB),https://emma.msrb.org/P11798407-P11379155-P11817759.pdf,2024-09-30,11/04/2024,OHIO STATE UNIVERSITY/THE
677632N7,Quarterly / Monthly Financial Information,The Ohio State University Quarterly Update to Bondholders for the quarter ended 06/30/2024 (576 KB),https://emma.msrb.org/P11778442-P11365061-P11802469.pdf,2024-06-30,08/08/2024,OHIO STATE UNIVERSITY/THE
677632N7,Quarterly / Monthly Financial Information,The Ohio State University Quarterly Update to Bondholders for the quarter ended 03/31/2024 (577 KB),https://emma.msrb.org/P21806841-P21386456-P21826727.pdf,2024-03-31,05/09/2024,OHIO STATE UNIVERSITY/THE
677632N7,Audited Financial Statements or ACFR,OSU Wexner Medical Center Audited Financial Statements (Subject to review and acceptance by the Auditor of the State of Ohio) for the year ended 06/30/2024 (4.4 MB),https://emma.msrb.org/P21875465-P21434744-P21880065.pdf,2024-06-30,12/20/2024,OHIO STATE UNIVERSITY/THE
677632N7,Audited Financial Statements or ACFR,The Ohio State University Audited Financial Statements (Subject to review and acceptance by the Auditor of the State of Ohio) for the year ended 06/30/2024 (1 MB),https://emma.msrb.org/P21875453-P21434734-P21880055.pdf,2024-06-30,12/20/2024,OHIO STATE UNIVERSITY/THE
677632N7,Annual Financial Information and Operating Data,The Ohio State University Annual Update to Bondholders for the year ended 06/30/2024 (577 KB),https://emma.msrb.org/P21875437-P21434721-P21880042.pdf,2024-06-30,12/20/2024,OHIO STATE UNIVERSITY/THE
64990C7S,Annual Financial Information and Operating Data,2024 Certificate of Compliance for the year ended 06/30/2024 (323 KB),https://emma.msrb.org/P11812338-P11389226-P11829039.pdf,2024-06-30,12/12/2024,NEW YORK UNIVERSITY
64990C7S,Annual Financial Information and Operating Data,2024 Operating Data for the year ended 06/30/2024 (244 KB),https://emma.msrb.org/P11812334-P11389223-P11829036.pdf,2024-06-30,12/12/2024,NEW YORK UNIVERSITY
64990C7S,Audited Financial Statements or ACFR,2024 Certificate of Compliance - Audit for the year ended 06/30/2024 (330 KB),https://emma.msrb.org/P11812329-P11389219-P11829032.pdf,2024-06-30,12/12/2024,NEW YORK UNIVERSITY
64990C7S,Audited Financial Statements or ACFR,2024 Consolidated Financial Statements New York University for the year ended 06/30/2024 (466 KB),https://emma.msrb.org/P11812326-P11389217-P11829030.pdf,2024-06-30,12/12/2024,NEW YORK UNIVERSITY
57585BAK,Annual Financial Information and Operating Data,Harvard University Student Applications and Enrollment for the year ended 06/30/2024 (557 KB),https://emma.msrb.org/P21889042-P21444694-P21891364.pdf,2024-06-30,02/05/2025,PRESIDENT & FELLOWS OF HARVARD COLLEGE
57421CBU,Audited Financial Statements or ACFR,2024 Audited Financial Statements for the year ended 06/30/2024 (348 KB),https://emma.msrb.org/P21870775-P21431166-P21875922.pdf,2024-06-30,12/11/2024,STEVENSON UNIVERSITY INC
88213ASB,Annual Financial Information and Operating Data,FY 2024 Continuing Disclosure Annual Report for the year ended 08/31/2024 (2.3 MB),https://emma.msrb.org/P21898799-P21452091-P21899985.pdf,2024-08-31,02/21/2025,TEXAS A&M UNIVERSITY
88213ASB,Annual Financial Information and Operating Data,Texas A&M University System Unaudited Annual Financial Reports for the year ended 08/31/2024 (2 MB),https://emma.msrb.org/P11810302-P11387711-P11827368.pdf,2024-08-31,11/25/2024,TEXAS A&M UNIVERSITY
91417NKS,Annual Financial Information and Operating Data,"Financial and Operating Data, Fiscal Year 2024 for the year ended 06/30/2024 (278 KB)",https://emma.msrb.org/P21915816-P21464707-P21913817.pdf,2024-06-30,03/20/2025,UNIVERSITY OF COLORADO
914460QJ,Annual Financial Information and Operating Data,Annual Financial Information and Operating Data for the year ended 06/30/2024 Document1 (1.3 MB),https://emma.msrb.org/P11814086-P21430908-P21875574.pdf,2024-06-30,12/11/2024,UNIVERSITY OF MINNESOTA
914460QJ,Annual Financial Information and Operating Data,Annual Financial Information and Operating Data for the year ended 06/30/2024 Document2 (315 KB),https://emma.msrb.org/P11814086-P21430908-P11830336.pdf,2024-06-30,12/11/2024,UNIVERSITY OF MINNESOTA
57421CBU,Annual Financial Information and Operating Data,2024 Operating Data for the year ended 06/30/2024 (196 KB),https://emma.msrb.org/P21870783-P21431172-P21875933.pdf,2024-06-30,12/11/2024,STEVENSON UNIVERSITY INC
57585BAK,Audited Financial Statements or ACFR,Harvard University Audited Financial Information for the year ended 06/30/2024 (10.6 MB),https://emma.msrb.org/P11811774-P11388809-P11828578.pdf,2024-06-30,12/12/2024,PRESIDENT & FELLOWS OF HARVARD COLLEGE
57585BAK,Audited Financial Statements or ACFR,Harvard University Financial Report for the year ended 06/30/2024 (10.6 MB),https://emma.msrb.org/P11794770-P11376640-P11815002.pdf,2024-06-30,10/18/2024,PRESIDENT & FELLOWS OF HARVARD COLLEGE
60636ANS,Amendment to Continuing Disclosure Undertaking,Amendment to Continuing Disclosure Undertaking dated 01/05/2024 (392 KB),https://emma.msrb.org/P11719960-P11321972-P11755214.pdf,2024-01-05,01/08/2024,ST LOUIS UNIVERSITY/US
