CUSIP,subgroup,document_name,pdf_url,period_date,posted_date,CREDIT
596564RX,Audited Financial Statements or ACFR,FY2024 Rutgers University Financial Report for the year ended 06/30/2024 (7.2 MB),https://emma.msrb.org/P21875529-P21434797-P21880125.pdf,2024-06-30,12/20/2024,RUTGERS THE STATE UNIVERSITY OF NEW JERSEY
596564RX,Annual Financial Information and Operating Data,FY2024 Rutgers University Continuing Disclosure Document for the year ended 06/30/2024 (158 KB),https://emma.msrb.org/P21875541-P21434807-P21880137.pdf,2024-06-30,12/20/2024,RUTGERS THE STATE UNIVERSITY OF NEW JERSEY
596564RX,Other Financial / Operating Data,2024 Annual Debt Statement (Middlesex County) for the year ended 12/31/2024 (129 KB),https://emma.msrb.org/P21890154-P21445560-P21892437.pdf,2024-12-31,02/06/2025,RUTGERS THE STATE UNIVERSITY OF NEW JERSEY
596564RX,Financial Obligation - Incurrence or Agreement,Financial Obligation Debt Obligation as of 04/17/2024 (757 KB),https://emma.msrb.org/P21803283-P21383854-P21823902.pdf,2024-04-17,04/25/2024,RUTGERS THE STATE UNIVERSITY OF NEW JERSEY
596564RX,Financial Obligation - Incurrence or Agreement,Financial Obligation Debt Obligation as of 04/17/2024 (790 KB),https://emma.msrb.org/P21803287-P21383858-P21823906.pdf,2024-04-17,04/25/2024,RUTGERS THE STATE UNIVERSITY OF NEW JERSEY
596564RX,Financial Obligation - Incurrence or Agreement,Notice of Financial Obligation (Middlesex County) as of 10/17/2024 (96 KB),https://emma.msrb.org/P21858747-P21422817-P21866572.pdf,2024-10-17,10/30/2024,RUTGERS THE STATE UNIVERSITY OF NEW JERSEY
596564RX,Financial Obligation - Incurrence or Agreement,Notice of Financial Obligation (Middlesex County) as of 10/17/2024 (90 KB),https://emma.msrb.org/P21858759-P21422825-P21866581.pdf,2024-10-17,10/30/2024,RUTGERS THE STATE UNIVERSITY OF NEW JERSEY
469480AT,Other Financial / Operating Data,Incorporate OS by Reference as of 12/10/2024 (2.8 MB),https://emma.msrb.org/P21869526-P21430251-P21874784.pdf,2024-12-10,12/10/2024,JACKSONVILLE STATE UNIVERSITY - Insured
91428LJN,Audited Financial Statements or ACFR,Audited Financial Statements - FY 2024 for the year ended 06/30/2024 (7.4 MB),https://emma.msrb.org/P21916245-P21465017-P21914151.pdf,2024-06-30,03/20/2025,UNIVERSITY OF HAWAII
91428LJN,Annual Financial Information and Operating Data,Financial Information and Operating Data - FY2024 for the year ended 06/30/2024 (279 KB),https://emma.msrb.org/P11831489-P11403626-P11845299.pdf,2024-06-30,03/25/2025,UNIVERSITY OF HAWAII
646066UW,Annual Financial Information and Operating Data,Unaudited Financial Statement for the year ended 06/30/2024 (1.1 MB),https://emma.msrb.org/P11812249-P11389154-P11828961.pdf,2024-06-30,12/12/2024,STOCKTON UNIVERSITY - Insured
646066UW,Annual Financial Information and Operating Data,Annual Report for the year ended 06/30/2024 (344 KB),https://emma.msrb.org/P11812251-P11389155-P11828962.pdf,2024-06-30,12/12/2024,STOCKTON UNIVERSITY - Insured
646066UW,Audited Financial Statements or ACFR,Annual Audited Financial Statement for the year ended 06/30/2024 (684 KB),https://emma.msrb.org/P21873014-P21432760-P21877773.pdf,2024-06-30,12/18/2024,STOCKTON UNIVERSITY - Insured
469480AT,Annual Financial Information and Operating Data,2024 Annual Report for the year ended 09/30/2024 (149 KB),https://emma.msrb.org/P21916787-P21465435-P21914650.pdf,2024-09-30,03/21/2025,JACKSONVILLE STATE UNIVERSITY - Insured
20775DXL,Audited Financial Statements or ACFR,Annual Financial Report for the year ended 06/30/2024 (3 MB),https://emma.msrb.org/P21856488-P21421176-P21864772.pdf,2024-06-30,10/28/2024,YALE UNIVERSITY
012432DW,Audited Financial Statements or ACFR,Audited Financial Statement for the year ended 06/30/2024 (500 KB),https://emma.msrb.org/P11807819-P21421827-P21865475.pdf,2024-06-30,10/29/2024,ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES
469480AT,Audited Financial Statements or ACFR,2024 Audited Financial Statements - Jacksonville State University for the year ended 09/30/2024 (1.6 MB),https://emma.msrb.org/P11849916-P11416883-P11860025.pdf,2024-09-30,05/13/2025,JACKSONVILLE STATE UNIVERSITY - Insured
65818PNN,Other Financial / Operating Data,"Student-Enrollment, Applications, Acceptances & Matriculations, Financial Matters-Tuition & Fees, and Debt Coverage Ratios as of 05/31/2024 (2 MB)",https://emma.msrb.org/P21858582-P21422690-P21866427.pdf,2024-05-31,10/30/2024,HIGH POINT UNIVERSITY
65818PNN,Annual Financial Information and Operating Data,Audited Financial Statements for the year ended 05/31/2024 Document2 (120 KB),https://emma.msrb.org/P21858582-P21422690-P21866428.pdf,2024-05-31,10/30/2024,HIGH POINT UNIVERSITY
